Rk,Player,Season,Age,Tm,Lg,Ht,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
471,Jeremy Lin\linje01,2017-18,29,BRK,NBA,6-3,1,1,25,5,12,4,10,1,2,7,7,0,0,0,4,0,0,3,3,18,.417,.400,.500,.458,1.000,.597
472,Shelvin Mack\macksh01,2017-18,27,ORL,NBA,6-3,69,3,1365,178,414,130,275,48,139,69,97,23,143,166,272,54,8,89,91,473,.430,.473,.345,.488,.711,.518
473,CJ McCollum\mccolcj01,2017-18,26,POR,NBA,6-3,81,81,2923,667,1505,478,1029,189,476,209,250,53,268,321,272,77,35,151,168,1732,.443,.465,.397,.506,.836,.536
474,Donovan Mitchell\mitchdo01,2017-18,21,UTA,NBA,6-3,79,71,2638,595,1362,408,812,187,550,239,297,52,244,296,291,118,27,215,213,1616,.437,.502,.340,.506,.805,.541
475,Malik Monk\monkma01,2017-18,19,CHO,NBA,6-3,63,0,854,153,425,70,182,83,243,32,38,8,58,66,91,20,9,49,60,421,.360,.385,.342,.458,.842,.477
476,Monte Morris\morrimo01,2017-18,22,DEN,NBA,6-3,3,0,25,4,6,4,5,0,1,2,2,0,2,2,7,3,0,1,1,10,.667,.800,.000,.667,1.000,.727
477,Cameron Payne\payneca01,2017-18,23,CHI,NBA,6-3,25,14,582,87,215,52,124,35,91,12,16,18,51,69,113,26,9,36,44,221,.405,.419,.385,.486,.750,.498
478,Gary Payton\paytoga02,2017-18,25,TOT,NBA,6-3,23,6,221,30,74,24,49,6,25,3,9,13,31,44,21,7,3,7,30,69,.405,.490,.240,.446,.333,.443
479,Derrick Rose\rosede01,2017-18,29,TOT,NBA,6-3,25,7,420,81,186,74,156,7,30,40,46,13,22,35,37,7,4,35,16,209,.435,.474,.233,.454,.870,.507
480,Ramon Sessions\sessira01,2017-18,31,TOT,NBA,6-3,28,3,392,42,117,34,91,8,26,44,57,6,32,38,77,14,2,30,29,136,.359,.374,.308,.393,.772,.479
481,Dennis Smith\smithde03,2017-18,20,DAL,NBA,6-3,69,69,2049,404,1024,298,685,106,339,134,193,50,210,260,358,71,18,194,152,1048,.395,.435,.313,.446,.694,.473
482,Isaiah Taylor\taylois01,2017-18,23,ATL,NBA,6-3,67,9,1167,163,390,143,310,20,80,99,141,22,72,94,206,34,10,84,116,445,.418,.461,.250,.444,.702,.492
483,Russell Westbrook\westbru01,2017-18,29,OKC,NBA,6-3,80,80,2914,757,1687,660,1361,97,326,417,566,152,652,804,820,147,20,381,200,2028,.449,.485,.298,.477,.737,.524
484,Avery Bradley\bradlav01,2017-18,27,TOT,NBA,6-2,46,46,1433,259,625,184,422,75,203,63,82,22,94,116,94,51,8,101,92,656,.414,.436,.369,.474,.768,.496
485,Bobby Brown\brownbo02,2017-18,33,HOU,NBA,6-2,20,0,115,19,58,8,18,11,40,1,2,0,7,7,11,4,0,9,6,50,.328,.444,.275,.422,.500,.425
486,Mario Chalmers\chalmma01,2017-18,31,MEM,NBA,6-2,66,10,1421,168,443,115,252,53,191,118,138,13,144,157,197,79,14,117,179,507,.379,.456,.277,.439,.855,.503
487,Quinn Cook\cookqu01,2017-18,24,GSW,NBA,6-2,33,18,740,122,252,76,148,46,104,22,25,10,72,82,89,12,1,32,59,312,.484,.514,.442,.575,.880,.593
488,Larry Drew\drewla02,2017-18,27,TOT,NBA,6-2,10,0,70,7,24,4,15,3,9,0,0,3,0,3,10,0,0,3,6,17,.292,.267,.333,.354,,.354
489,Langston Galloway\gallola01,2017-18,26,DET,NBA,6-2,58,2,863,126,340,51,122,75,218,33,41,13,79,92,58,35,5,18,39,360,.371,.418,.344,.481,.805,.503
490,Jonathan Gibson\gibsojo01,2017-18,30,BOS,NBA,6-2,4,0,40,14,23,8,11,6,12,0,0,0,3,3,4,0,0,3,5,34,.609,.727,.500,.739,,.739
491,Tyus Jones\jonesty01,2017-18,21,MIN,NBA,6-2,82,11,1467,150,328,105,199,45,129,71,81,16,116,132,232,95,6,59,110,416,.457,.528,.349,.526,.877,.572
492,T.J. McConnell\mccontj01,2017-18,25,PHI,NBA,6-2,76,1,1706,210,421,183,359,27,62,31,39,37,189,226,303,92,13,112,122,478,.499,.510,.435,.531,.795,.545
493,Xavier Munford\munfoxa02,2017-18,25,MIL,NBA,6-2,6,0,21,1,6,1,4,0,2,1,2,1,0,1,4,1,0,2,4,3,.167,.250,.000,.167,.500,.218
494,Tony Parker\parketo01,2017-18,35,SAS,NBA,6-2,55,21,1071,178,388,168,351,10,37,55,78,7,88,95,195,28,1,68,52,421,.459,.479,.270,.472,.705,.498
495,London Perrantes\perralo01,2017-18,23,CLE,NBA,6-2,14,0,66,2,13,2,10,0,3,3,5,1,3,4,5,2,1,1,6,7,.154,.200,.000,.154,.600,.230
496,Jeff Teague\teaguje01,2017-18,29,MIN,NBA,6-2,70,70,2311,354,794,270,566,84,228,202,239,24,185,209,492,102,23,177,171,994,.446,.477,.368,.499,.845,.553
497,Marquis Teague\teaguma01,2017-18,24,MEM,NBA,6-2,3,0,74,4,16,3,12,1,4,2,5,1,5,6,13,4,0,3,5,11,.250,.250,.250,.281,.400,.302
498,Jason Terry\terryja01,2017-18,40,MIL,NBA,6-2,51,4,814,59,154,19,39,40,115,8,9,5,43,48,59,42,13,25,52,166,.383,.487,.348,.513,.889,.525
499,Briante Weber\weberbr01,2017-18,25,TOT,NBA,6-2,18,0,237,19,43,15,32,4,11,8,10,8,27,35,22,18,5,15,28,50,.442,.469,.364,.488,.800,.527
500,Joe Young\youngjo01,2017-18,25,IND,NBA,6-2,53,1,558,80,186,55,120,25,66,22,29,12,51,63,39,14,1,26,39,207,.430,.458,.379,.497,.759,.521
501,Patrick Beverley\beverpa01,2017-18,29,LAC,NBA,6-1,11,11,334,48,119,24,59,24,60,14,17,16,29,45,32,19,5,25,34,134,.403,.407,.400,.504,.824,.530
