rowid,votereg,age5,gender,has_voted,pp18_votelikely,turnout16,educ,educ4,educ2,race,race_t,race4,race3,race2,hispanic,state,senvote18,senvote18_t,senvote18_undecided,senvote18_undecided_t,senvote18_full,specsenvote18,specsenvote18_t,specsenvote18_undecided,specsenvote18_undecided_t,specsenvote18_full,housevote18,housevote18_t,housevote18_undecided_t,govvote18,govvote18_t,govvote18_undecided,govvote18_undecided_t,govvote18_full,EMOTIONS_1,EMOTIONS_2,EMOTIONS_3,EMOTIONS_4,EMOTIONS_5,EMOTIONS_6,EMOTIONS_7,EMOTIONS_8,EMOTIONS_9,EMOTIONS_10,EMOTIONS_11,EMOTIONS_12,EMOTIONS_13,EMOTIONS_14,EMOTIONS_15,EMOTIONS_16,EMOTIONS_17,direct,favor_labor,favor_dem,favor_rep,favor_aca,favor_mcconnell,favor_demcong,favor_repcong,favor_metoo,favor_blm,favor_dtrump,app_dtrmp,suprpty,campaign_contact_emails,campaign_contact_text,campaign_contact_mailer,campaign_contact_onlineads,campaign_contact_inperson,campaign_contact_phone,campaign_contact_TVads,campaign_contact_socialmedia,which_module,CONSENT,VOTE_GEN,NONVOTE_WHY_1,NONVOTE_WHY_2,NONVOTE_WHY_3,NONVOTE_WHY_4,NONVOTE_WHY_5,NONVOTE_WHY_6,NONVOTE_WHY_7,NONVOTE_WHY_t,VOTECONF,GENERATIONS,FAVORS,INSTITUTION,SYSTEM,EMPATHY,FT_Whites,FT_Blacks,FT_Latinos,LAZY_Whites,LAZY_Blacks,LAZY_Latinos,INTELLIGENT_Whites,INTELLIGENT_Blacks,INTELLIGENT_Latinos,RACE_IDENT,LINKFATE,FINPREP,DESERVE_poor,DESERVE_rich,CUSTOMS,SPEAK,ENRICH,SERVICES,JOBS,FLAG,PATH,BORDER,DEPORT,SOCIALDOMINANCE_PRIORITIES,SOCIALDOMINANCE_NOTPUSH,SOCIALDOMINANCE_EQUALIDEAL,SOCIALDOMINANCE_SUPERIOR,REMARKS,OFFEND,APPRECIATE,GENDERPERSONALITY_INDEP,GENDERPERSONALITY_EMOT,GENDERPERSONALITY_CONFIDENT,GENDERPERSONALITY_HELPFUL,GENDERPERSONALITY_DECISIONS,POP_1,POP_2,POP_3,ICE,BAIL_item,WELTEST,PUBLICINT,GREENJOB,POLFEE,PUBLICGEN,BOND,FREECOLL,WEALTH,AVR,M4A,MARREP,MARAM,MARLEG,YEMEN,SOLITARY,GUNS,POLCORRECT,NDIVERSE,NDEMS,SOURCES_1,SOURCES_2,SOURCES_3,SOURCES_4,SOURCES_5,SOURCES_6,SOURCES_7,SOURCES_8,SOURCES_9,SOURCES_10,SOURCES_11,SOURCES_12,SOURCES_13,SOURCES_14,SOURCES_15,SOURCES_16,SOURCES_17,pp18_polactions_txt,pid3,pid3_t,pid7,dtrpsupp,ideo5,presvote16post,presvote16post_t,djtrelct,housevote16post,e14_presvote12,e14_presvote12_t,union_combined_1,union_combined_5,union_combined_2,union_combined_6,union_combined_3,union_combined_4,marstat,child18,religpew,religpew_t,pew_bornagain,pew_churatd,employ,job,faminc_new,pp18_polactions_1,pp18_polactions_2,pp18_polactions_3,pp18_polactions_4,pp18_polactions_5,pp18_polactions_6,pp18_polactions_7,pp18_polactions_8,weight_DFP,house2_imputed,house3,pid7_dems,pid7_oths,pid7_reps,gov2_imputed,gov3,sen2_imputed,sen3,housevote18_undecided,housevote18_full,USR,hostile_sexism_raw,hostile_sexism_scaled,racial_resentment_raw,racial_resentment_scaled,fear_of_demographic_change_raw,fear_of_demographic_change_scaled,which_sample
1818,1,4,2,0,1,1,5,3,2,1,NA,1,1,1,2,48,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,2,2,4,4,2,3,3,3,3,3,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,1,5,1,50,88,84,5,5,4,4,4,4,3,2,2,6,1,5,5,1,5,5,1,4,5,4,2,3,3,4,4,4,4,4,3,2,4,1,1,3,4,4,3,4,1,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,8,10,1,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,2,,3,NA,3,NA,3,1,NA,2,1,1,NA,1,2,2,2,2,2,1,2,9,NA,NA,5,1,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,0.7524,1,1,NA,3,NA,1,1,1,1,NA,1,3,3,0.25,4,0,0,0,Final 2018_11_27
1819,1,5,2,1,7,1,5,3,2,1,NA,1,1,1,2,17,NA,,NA,,NA,NA,,NA,NA,NA,1,,,1,,NA,,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,4,2,4,1,1,4,4,1,1,1,1,3,1,1,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,5,1,90,89,89,4,4,4,4,4,4,2,2,1,7,1,5,4,1,5,5,1,3,5,4,1,4,1,5,5,5,5,4,2,2,4,3,3,4,3,3,1,5,1,1,1,2,1,2,1,1,2,2,1,2,1,2,1,1,8,75,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,,1,NA,1,NA,1,1,NA,2,1,1,NA,2,2,2,2,1,2,1,2,1,NA,1,2,2,NA,13,1,1,1,2,1,1,2,2,0.7166,1,1,1,NA,NA,1,1,1,NA,NA,1,3,0,0,4,0,0,0,Final 2018_11_27
1820,1,3,1,0,1,1,5,3,2,1,NA,1,1,1,2,36,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,4,2,4,1,1,4,4,1,1,1,1,4,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,5,1,59,83,85,3,6,7,3,2,2,1,3,1,7,1,5,5,1,5,5,1,1,4,5,1,5,1,5,6,6,5,4,3,2,4,2,2,3,3,3,1,6,1,1,1,1,1,1,NA,3,1,1,1,1,4,3,1,2,3,90,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,,1,NA,2,NA,2,1,NA,2,1,1,NA,1,2,2,2,2,2,1,1,2,NA,2,3,1,NA,9,2,2,2,2,2,2,2,1,1.7342,1,1,2,NA,NA,1,1,1,1,NA,1,3,NA,NA,4,0,0,0,Final 2018_11_27
1821,1,4,2,0,2,1,6,4,2,1,NA,1,1,1,2,17,NA,,NA,,NA,NA,,NA,NA,NA,3,,,3,,NA,,3,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,4,2,4,2,3,3,2,2,4,2,2,2,4,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,3,1,76,39,52,4,3,4,3,3,3,4,3,4,2,7,1,3,2,2,2,1,2,1,1,2,3,2,4,2,4,3,4,3,2,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,1,3,6,50,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,,2,NA,6,2,5,2,NA,1,2,2,NA,2,1,2,2,2,2,3,2,1,NA,1,3,9,NA,2,2,2,2,2,2,2,2,1,0.673,0,2,NA,NA,6,0,2,0,NA,NA,3,2,6,0.5,7,0.25,7,0.5833,Final 2018_11_27
1822,1,5,1,1,8,1,6,4,2,1,NA,1,1,1,2,6,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,1,1,4,4,1,1,4,3,3,4,4,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,5,1,56,97,88,3,6,6,4,4,4,1,3,1,6,1,5,5,1,5,5,1,3,5,3,2,5,2,5,4,4,5,4,3,3,4,2,4,3,4,3,2,4,2,2,1,2,3,1,1,1,1,2,1,1,5,3,1,2,5,75,1,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,2,,1,NA,1,NA,1,1,NA,2,1,1,NA,2,2,2,2,1,2,6,2,2,NA,2,2,9,NA,8,2,2,2,2,1,2,2,2,0.3619,1,1,1,NA,NA,1,1,1,1,NA,1,2,2,0.166666667,4,0,0,0,Final 2018_11_27
1823,1,5,2,1,8,1,5,3,2,1,NA,1,1,1,2,6,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,4,1,4,4,3,3,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,4,1,76,78,65,4,4,5,4,4,4,4,2,5,7,1,3,1,2,3,2,2,3,3,2,1,4,2,5,2,NA,3,4,3,2,5,2,2,3,1,4,4,1,4,1,1,5,5,1,1,2,3,2,2,3,1,2,2,4,6,50,1,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,,1,NA,2,NA,2,1,NA,2,1,1,NA,2,2,2,2,1,2,4,2,2,NA,1,3,5,NA,11,2,2,2,2,2,2,2,1,0.6992,1,1,2,NA,NA,1,1,1,1,NA,1,3,NA,NA,7,0.25,6,0.5,Final 2018_11_27
1824,1,5,1,0,1,1,5,3,2,1,NA,1,1,1,2,28,3,,NA,,3,3,,NA,NA,3,3,,,NA,,NA,,NA,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,4,4,2,4,2,4,2,5,4,1,1,4,4,4,2,4,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,4,2,3,88,80,78,5,4,6,2,5,4,3,2,1,4,4,1,2,3,2,2,2,3,1,1,4,3,3,4,1,4,2,4,3,3,5,4,1,2,1,4,2,1,4,3,3,5,5,5,5,5,4,3,2,2,3,3,3,4,5,25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,NA,7,1,4,2,NA,1,2,2,NA,2,2,2,2,1,2,5,2,1,NA,1,2,1,NA,2,2,2,2,2,2,2,2,1,0.3866,0,2,NA,NA,7,0,NA,0,2,NA,3,1,8,0.666666667,12,0.666666667,8,0.6667,Final 2018_11_27
1825,1,5,1,0,1,1,5,3,2,1,NA,1,1,1,2,37,NA,,NA,,NA,NA,,NA,NA,NA,3,,,NA,,NA,,NA,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,4,2,4,2,4,2,3,4,2,2,4,3,4,3,3,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,3,2,1,80,75,80,5,4,6,3,3,3,2,3,1,6,3,1,2,4,1,2,1,2,1,2,1,4,2,5,2,3,4,5,2,2,4,2,5,4,2,5,3,3,5,4,4,5,5,5,5,2,5,2,2,4,3,5,3,4,3,50,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,,2,NA,6,2,4,2,NA,1,2,2,NA,2,2,2,2,1,2,1,2,11,NA,2,5,9,NA,6,2,2,2,2,2,2,2,1,0.4007,0,2,NA,NA,6,0,NA,0,NA,NA,3,2,6,0.5,9,0.416666667,10,0.8333,Final 2018_11_27
1826,1,3,2,0,1,1,2,1,1,1,NA,1,1,1,2,53,1,,NA,,1,NA,,NA,NA,NA,1,,,NA,,NA,,NA,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,1,4,2,4,2,3,4,4,5,3,4,3,3,2,4,3,3,1,1,2,2,1,2,2,2,2,2,NA,2,3,4,3,5,2,50,50,50,4,4,4,4,4,4,1,3,1,4,2,4,2,4,3,2,2,4,5,4,2,5,1,5,5,5,5,3,3,3,4,2,2,3,2,2,3,2,2,1,2,1,1,1,1,5,1,3,2,1,1,3,2,3,8,50,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,,3,NA,3,NA,6,1,NA,2,1,1,NA,2,2,2,2,1,2,1,2,12,NA,2,6,7,NA,7,2,2,2,2,2,2,2,1,1.4243,1,1,NA,3,NA,1,NA,1,1,NA,1,2,0,0,7,0.25,8,0.6667,Final 2018_11_27
1827,1,3,2,0,1,1,5,3,2,1,NA,1,1,1,2,1,NA,,NA,,NA,NA,,NA,NA,NA,3,,,3,,NA,,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,4,4,6,6,4,6,4,4,4,5,4,4,3,4,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,2,1,50,50,50,4,4,4,4,4,4,4,3,1,6,2,3,1,5,1,5,2,3,5,1,1,1,5,3,2,5,5,5,2,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,5,1,4,3,50,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,,3,NA,4,NA,5,2,NA,2,2,2,NA,2,2,2,2,1,2,1,1,1,NA,1,6,1,NA,8,2,2,2,2,2,2,2,1,1.2526,0,2,NA,4,NA,0,2,0,NA,NA,3,1,3,0.25,11,0.583333333,8,0.6667,Final 2018_11_27
1828,1,4,2,0,1,1,3,2,1,1,NA,1,1,1,2,5,NA,,NA,,NA,NA,,NA,NA,NA,3,,,3,,NA,,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,6,4,2,4,2,4,2,3,4,1,2,3,4,1,3,4,1,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,4,3,6,84,59,80,6,3,6,2,2,2,3,3,4,5,3,2,3,2,1,2,2,2,1,3,3,3,3,3,4,5,4,5,4,1,5,1,4,5,4,5,6,1,2,6,2,1,6,3,1,4,6,6,6,5,3,4,3,4,6,40,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,3,NA,5,1,4,2,NA,1,2,2,NA,2,2,2,2,1,2,3,2,1,NA,1,2,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0.8787,0,2,NA,5,NA,0,2,0,NA,NA,3,2,2,0.166666667,11,0.583333333,8,0.6667,Final 2018_11_27
1829,1,2,2,0,1,1,4,2,1,1,NA,1,1,1,2,6,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,3,1,1,4,2,6,1,4,1,2,4,4,1,1,1,3,4,4,1,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,5,1,79,79,50,3,3,5,4,4,4,1,2,5,7,1,1,3,2,2,3,1,2,4,4,1,5,1,5,5,5,4,4,4,3,4,3,2,3,3,3,6,1,2,2,1,1,1,1,1,5,1,1,4,5,2,3,1,3,1,90,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,,1,NA,1,NA,1,1,NA,2,1,1,NA,2,2,2,2,2,1,5,1,1,NA,2,5,2,NA,1,2,2,2,2,2,2,2,1,0.8862,1,1,1,NA,NA,1,1,1,1,NA,1,3,1,0.083333333,5,0.083333333,6,0.5,Final 2018_11_27
1830,1,4,2,0,1,1,4,2,1,1,NA,1,1,1,2,40,NA,,NA,,NA,NA,,NA,NA,NA,1,,,1,,NA,,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,4,1,4,2,4,1,2,4,4,1,3,1,3,3,4,4,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,1,5,1,74,74,77,5,6,6,3,3,3,1,3,2,7,1,5,5,1,5,3,1,5,5,5,1,5,1,5,5,5,5,5,3,4,5,3,2,1,4,3,1,5,2,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,3,10,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,,1,NA,1,NA,2,1,NA,2,1,1,NA,2,2,2,2,1,2,6,2,12,Follower of Jesus's teachings,NA,5,1,NA,6,1,1,1,1,1,2,2,2,0.6458,1,1,1,NA,NA,1,1,1,NA,NA,1,2,0,0,4,0,2,0.1667,Final 2018_11_27
1831,1,5,1,0,1,1,3,2,1,3,NA,3,3,2,1,1,NA,,NA,,NA,NA,,NA,NA,NA,1,,,1,,NA,,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,4,2,4,2,4,2,2,4,4,1,3,1,3,3,1,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,1,4,2,61,80,81,3,7,7,3,3,3,3,2,1,7,1,5,5,2,5,5,1,4,5,2,1,2,1,5,5,5,5,5,3,2,5,2,5,2,5,2,2,5,1,3,1,1,1,2,1,1,1,6,1,1,1,2,1,3,3,40,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,,1,NA,1,NA,1,1,NA,2,1,1,NA,2,1,2,2,2,2,1,2,10,NA,2,6,5,NA,5,2,2,2,2,2,1,2,2,0.8943,1,1,1,NA,NA,1,1,1,NA,NA,1,2,0,0,6,0.166666667,1,0.0833,Final 2018_11_27
1832,1,4,1,0,1,1,5,3,2,1,NA,1,1,1,2,36,1,,NA,,1,NA,,NA,NA,NA,1,,,1,,NA,,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,4,1,4,2,4,1,2,4,4,1,1,1,1,4,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,5,1,83,83,80,3,4,4,3,3,3,2,1,2,7,1,5,5,1,5,5,1,4,5,4,1,5,1,5,5,5,5,5,4,1,4,1,4,3,4,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,8,40,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,,1,NA,1,NA,1,1,NA,2,1,4,NA,2,2,2,2,1,2,5,2,10,NA,2,6,6,NA,8,2,1,1,2,1,1,2,2,0.6884,1,1,1,NA,NA,1,1,1,1,NA,1,3,0,0,4,0,0,0,Final 2018_11_27
1833,1,3,2,0,1,1,3,2,1,1,NA,1,1,1,2,21,NA,,NA,,NA,NA,,NA,NA,NA,1,,,NA,,NA,,NA,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,1,4,1,4,1,1,4,4,1,4,4,4,4,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,5,1,6,97,100,1,5,6,3,3,3,1,2,5,7,1,5,5,1,3,5,1,5,5,4,1,4,2,3,3,4,5,5,3,1,5,1,5,3,2,1,2,1,6,2,1,1,1,1,1,1,1,1,2,1,4,2,1,1,6,45,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,,1,NA,2,NA,3,1,NA,2,1,1,NA,2,2,2,2,1,2,1,1,1,NA,2,2,6,NA,6,2,2,2,2,1,2,2,2,0.9259,1,1,2,NA,NA,1,NA,1,NA,NA,1,2,3,0.25,4,0,2,0.1667,Final 2018_11_27
1834,1,5,2,0,2,1,6,4,2,1,NA,1,1,1,2,54,1,,NA,,1,NA,,NA,NA,NA,1,,,NA,,NA,,NA,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,4,2,3,4,4,3,2,4,3,5,4,4,3,4,4,3,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,3,4,2,62,54,51,4,4,5,4,4,4,2,3,2,5,2,3,3,2,3,3,2,3,3,3,2,3,2,4,3,2,3,4,3,3,4,2,2,3,2,3,3,2,2,2,3,3,5,2,2,2,4,2,3,4,2,3,2,1,9,50,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,,1,NA,2,NA,5,2,NA,2,2,4,NA,2,2,2,2,1,2,5,2,1,NA,1,2,5,NA,5,2,2,2,2,2,2,2,1,0.6419,1,1,2,NA,NA,1,NA,1,1,NA,1,NA,7,0.583333333,8,0.333333333,5,0.4167,Final 2018_11_27
1835,1,4,1,0,1,1,2,1,1,1,NA,1,1,1,2,17,NA,,NA,,NA,NA,,NA,NA,NA,3,,,7,me,NA,,7,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,5,4,2,4,3,4,2,3,1,1,1,4,2,2,3,3,2,2,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,2,1,92,85,81,6,6,6,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,3,3,3,2,2,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,7,35,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,,2,NA,7,1,5,2,NA,1,2,2,NA,2,2,2,2,1,2,1,2,2,NA,2,5,6,NA,16,2,2,2,2,2,2,2,1,1.1969,0,2,NA,NA,7,0,3,0,NA,NA,3,2,6,0.5,9,0.416666667,7,0.5833,Final 2018_11_27
1836,1,5,1,0,1,1,3,2,1,1,NA,1,1,1,2,18,3,,NA,,3,NA,,NA,NA,NA,3,,,NA,,NA,,NA,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,2,4,2,4,2,4,4,1,1,4,4,4,3,3,3,3,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,4,3,2,76,76,76,4,4,4,4,4,4,2,3,1,4,4,3,3,3,3,5,2,5,1,1,3,3,4,3,5,3,3,5,2,1,5,1,5,3,2,5,3,1,5,5,5,5,5,5,5,5,5,5,3,2,3,4,5,4,6,75,2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,,2,NA,7,1,5,6,NA,1,2,2,NA,2,1,2,2,2,2,1,2,11,NA,2,4,5,NA,5,1,1,1,2,1,1,2,2,0.7097,0,2,NA,NA,7,0,NA,0,2,NA,3,2,4,0.333333333,10,0.5,4,0.3333,Final 2018_11_27
1837,1,5,1,0,1,1,6,4,2,1,NA,1,1,1,2,32,3,,NA,,3,NA,,NA,NA,NA,3,,,3,,NA,,3,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,3,4,1,4,1,4,2,4,4,1,4,4,2,2,3,3,4,4,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,2,1,87,75,83,4,3,3,4,4,4,4,3,1,4,4,5,2,5,1,1,2,5,1,2,4,1,5,3,3,3,3,4,2,4,5,3,5,3,3,5,3,1,2,4,2,3,1,2,2,4,5,5,3,5,1,5,2,4,4,50,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,,2,NA,7,4,5,2,NA,1,2,2,NA,2,1,2,2,2,2,1,2,3,NA,2,1,5,NA,6,2,2,2,2,2,2,2,1,0.4365,0,2,NA,NA,7,0,2,0,2,NA,3,3,6,0.5,11,0.583333333,12,1,Final 2018_11_27
1838,1,4,1,0,1,1,6,4,2,7,NA,4,1,2,2,26,7,anyone who is not a Democrat (although I like Stabenow),NA,,7,NA,,NA,NA,NA,7,anyone who is not a Democrat,,7,anyone who is not a Democrat (although I hate Schuette),NA,,7,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,4,4,4,4,4,4,3,3,3,2,5,4,4,3,1,4,4,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,6,5,1,NA,NA,NA,4,4,4,4,4,4,1,3,1,4,4,3,5,3,3,3,3,1,1,1,1,1,5,5,5,3,3,3,3,2,5,1,4,1,5,4,4,5,4,3,3,2,5,5,3,5,3,5,1,3,1,1,2,3,3,30,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,,3,NA,4,NA,1,2,NA,1,1,1,NA,1,2,1,2,2,2,1,2,1,NA,2,5,1,NA,11,2,2,2,2,1,2,2,2,0.5701,1,3,NA,4,NA,1,3,1,3,NA,7,2,4,0.333333333,6,0.166666667,6,0.5,Final 2018_11_27
1839,1,5,2,0,1,1,4,2,1,1,NA,1,1,1,2,26,3,,NA,,3,NA,,NA,NA,NA,3,,,3,,NA,,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,4,2,4,2,4,2,3,4,1,1,4,2,2,2,2,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,2,3,52,51,52,4,4,4,4,4,4,3,2,2,4,4,1,2,4,1,1,2,2,1,1,4,1,3,5,2,1,2,4,4,2,4,2,5,5,2,5,4,1,1,2,5,4,5,5,5,5,5,1,2,5,6,5,3,4,8,25,2,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,,2,NA,7,1,5,2,NA,1,2,2,NA,2,2,2,2,1,2,3,2,2,NA,1,2,6,NA,3,1,1,1,1,1,1,2,2,0.7952,0,2,NA,NA,7,0,2,0,2,NA,3,2,10,0.833333333,13,0.75,11,0.9167,Final 2018_11_27
1840,1,4,2,0,1,1,4,2,1,5,NA,4,1,2,2,8,NA,,NA,,NA,NA,,NA,NA,NA,3,,,3,,NA,,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,3,4,3,4,3,4,4,1,1,3,3,2,3,3,4,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,2,5,1,60,81,62,5,3,6,4,4,5,4,2,2,7,1,1,1,4,1,2,2,1,1,1,5,1,5,4,2,1,2,4,5,4,4,3,2,2,2,4,2,1,3,2,4,4,2,5,1,1,2,5,1,1,5,2,5,4,4,50,1,1,2,2,1,2,1,2,2,1,1,2,1,2,1,2,2,,3,NA,4,NA,3,2,NA,1,2,1,NA,1,2,2,1,2,2,1,1,2,NA,2,5,1,NA,10,2,2,2,2,1,2,1,2,0.6712,0,2,NA,4,NA,0,2,0,NA,NA,3,1,10,0.833333333,5,0.083333333,10,0.8333,Final 2018_11_27
1841,1,5,2,0,1,1,6,4,2,1,NA,1,1,1,2,54,3,,NA,,3,NA,,NA,NA,NA,3,,,NA,,NA,,NA,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,4,2,4,2,4,2,4,3,1,1,3,3,4,3,3,3,3,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,4,2,89,88,87,6,6,6,2,2,2,3,2,NA,7,2,2,2,2,2,4,2,2,1,1,2,4,2,4,4,1,4,4,3,1,5,1,2,4,5,5,4,2,1,1,1,1,4,2,1,4,1,3,NA,1,2,2,5,3,10,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,,3,NA,5,1,3,2,NA,1,2,1,NA,1,2,2,2,2,2,1,2,1,NA,1,1,2,NA,2,1,1,1,1,1,2,2,2,0.7162,0,2,NA,5,NA,0,NA,0,2,NA,3,NA,6,0.5,10,0.5,5,0.4167,Final 2018_11_27
1842,1,4,1,0,1,1,6,4,2,1,NA,1,1,1,2,37,NA,,NA,,NA,NA,,NA,NA,NA,3,,,NA,,NA,,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,4,2,4,3,4,3,4,4,2,2,4,4,4,2,3,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,4,3,5,59,54,53,6,6,4,3,3,3,1,3,1,6,4,2,1,3,1,3,2,5,1,1,4,1,5,3,2,2,3,5,1,2,4,1,4,5,1,5,1,1,5,5,5,5,5,5,5,5,5,5,2,1,1,2,5,4,6,50,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,NA,4,Libertarian,4,NA,5,2,NA,1,2,4,NA,2,2,2,2,1,2,1,1,10,NA,2,5,1,NA,9,2,2,1,2,1,2,2,2,0.6757,0,2,NA,4,NA,0,NA,0,NA,NA,3,2,8,0.666666667,13,0.75,8,0.6667,Final 2018_11_27
